"fielder_pos","inning","batting_run_differential","outs_on_play","runs_on_play","throw","exchange","throw_dist","time_to_catch","ball_vx_0","ball_vz_0","ball_vy_0","ball_v_0","ball_ax_0","ball_az_0","ball_ay_0","ball_apex_x","ball_apex_y","ball_apex_z","player_px_7_0","player_py_7_0","player_px_8_0","player_py_8_0","player_px_9_0","player_py_9_0","landing_location_x","landing_location_y","launch_angle","launch_direction","launch_speed","runner_season_top_velo","runner_id","fielder_id","fielding_team_id","hitting_team_id","play_id","fielder_distance_x","fielder_distance_y"
8,6,2,"no_out","run",66.744,1.3,181.496,3.637,-0.35667,31.54988,78.87409,84.95083,1.69626,-19.88358,-26.07523,2.38924,177.09823,43.33916,-138.608,267.915,-5.843,308.829,128.142,256.105,12.32792,317.24421,22.09703,-0.25368,86.0454,8.594,6,72,22,28,25,18.17092,8.41521
8,5,4,"no_out","run",69.683,1.702,189.687,3.637,7.41261,30.94292,94.78674,99.98469,1.28469,-20.34781,-29.28107,1.17734,199.87885,43.75239,-129.827,257.2,13.925,310.279,135.905,251.372,-9.78231,356.25481,18.14929,4.6995,101.40213,8.594,6,222,24,28,26,-23.70731,45.97581
8,2,-2,"no_out","no_run",88.105,1.167,225.063,4.838,10.32299,48.5895,59.12104,77.21917,1.11316,-22.79764,-27.70257,16.23108,148.92961,85.63924,-109.91,278.494,7.331,345.443,133.211,262.193,14.79674,258.16636,39.056,10.02189,78.66384,8.324,6,173,17,28,31,7.46574,-87.27664
7,9,-6,"no_out","no_run",71.361,0.959,138.74,2.64,-38.00084,24.33651,73.29978,86.07664,-0.62597,-24.36432,-27.17792,-72.79674,117.82729,27.21363,-141.383,239.314,15.897,300.518,162.02,258.43,-150.3304,206.5835,16.33433,-27.31809,86.88595,8.646,7,143,12,19,33,-8.94739999999999,-32.7305
8,8,4,"no_out","run",54.785,0.768,176.415,4.971,-2.58172,48.38496,73.07416,87.67897,0.83374,-20.80449,-32.52939,14.6612,186.33338,86.73997,-130.294,262.363,-12.574,292.425,127.723,231.95,51.36691,313.15192,33.62486,-2.284,89.09578,8.363,7,362,29,19,34,63.94091,20.72692
8,3,4,"no_out","no_run",86.444,1.167,188.547,6.307,11.26163,71.7753,56.01816,91.74177,0.71374,-29.75053,-34.3674,10.78989,150.15066,146.83854,-136.386,261.566,11.417,324.912,149.043,262.613,-0.32374,267.18664,51.17012,11.578,91.57464,8.325,7,273,28,11,35,-11.74074,-57.72536
8,1,1,"no_out","run",73.85,1,182.274,6.373,0.89585,65.63116,73.49163,98.53563,-0.27673,-25.06722,-39.9193,18.77137,207.55801,140.75678,-119.342,268.372,26.425,302.931,138.752,259.849,50.85797,369.75765,41.58678,0.4777,100.09507,8.468,8,215,21,30,39,24.43297,66.82665
8,7,-2,"no_out","run",75.444,1.2,239.043,5.939,-6.90738,52.66492,80.89486,96.7744,1.20653,-20.20171,-37.6994,-1.9127,227.00843,111.80114,-137.767,270.924,18.507,316.156,130.384,285.857,22.01042,382.29352,32.95806,-5.01616,98.2305,8.468,8,186,16,30,40,3.50342,66.13752
8,1,0,"no_out","run",89.758,0.867,13.937,4.338,-1.10824,41.07546,73.78744,84.45714,1.78651,-19.56682,-30.68182,12.14954,179.13289,65.65901,-123.466,259.606,16.781,313.2,126.923,252.124,35.78491,311.52269,29.27547,-1.12094,85.69913,8.468,8,407,18,30,42,19.00391,-1.67730999999998
8,9,-1,"no_out","run",94.787,1.101,181.417,4.071,-8.23198,38.01237,60.14253,71.62283,0.57115,-21.4937,-20.89625,-19.54062,143.95504,57.78165,-135.076,263.627,9.398,296.246,151.97,252.263,-35.22092,254.0405,32.32712,-7.82309,72.74559,8.468,8,179,2,30,43,-44.61892,-42.2055
7,7,1,"no_out","run",60.469,1.401,139.312,3.27,-30.78727,36.70273,79.67662,92.96941,0.89561,-23.43621,-28.35846,-76.34707,143.0764,43.62155,-125.962,225.777,-22.653,297.193,125.079,253.823,-163.38292,237.16634,23.6301,-20.70843,94.49126,8.663,9,461,11,9,46,-37.42092,11.38934
8,9,1,"no_out","run",80.836,1.167,182.401,5.205,-15.24599,47.43604,75.26597,90.26397,1.78651,-19.56682,-30.68182,-39.44545,202.54485,89.21464,-137.529,251.723,-18.607,319.551,133.914,251.148,-63.33919,346.9396,31.59655,-11.54271,91.96665,8.663,9,105,29,9,47,-44.73219,27.3886
7,1,1,"no_out","run",76.146,2.24,174.624,3.44,-28.78559,29.85621,86.57187,95.99319,-0.65103,-25.402,-31.16038,-63.81327,181.47621,41.83108,-130.727,258.297,22.407,306.397,128.241,252.048,-114.40428,323.33536,17.8891,-18.37193,96.80339,8.969,11,23,2,15,49,16.32272,65.03836
8,1,0,"no_out","run",60.669,0.934,154.861,2.736,-8.01225,25.51534,101.21933,104.6928,1.98008,-22.47642,-31.23843,-23.1261,183.17668,28.45052,-135.736,248.596,-19.068,307.972,137.7,259.649,-53.54306,328.91292,14.41246,-4.30799,105.96882,9.205,11,217,5,15,52,-34.47506,20.94092
8,1,3,"no_out","run",86.429,1.702,254.977,4.705,-7.38704,48.04399,83.2938,96.43988,2.14869,-18.9338,-36.04022,-42.8943,211.62278,78.70928,-134.077,255.239,-12.911,342.531,126.811,280.948,-99.29635,361.69873,30.07421,-4.78973,98.04868,7.909,12,180,15,10,54,-86.38535,19.16773
7,2,0,"out","no_run",88.303,0.833,14.859,2.502,-37.36764,25.51486,90.37355,101.06793,-0.59198,-26.51506,-31.99939,-72.12146,139.05806,25.32579,-140.787,260.502,-24.91,313.772,126.407,281.715,-155.47506,242.41267,14.98065,-22.08438,102.40655,7.909,12,105,29,10,56,-14.68806,-18.08933
7,5,3,"no_out","no_run",94.119,1.167,194.472,5.272,-9.98677,60.24394,60.19792,85.7488,-0.67352,-27.31559,-35.17692,-49.78845,147.57496,104.5326,-135.199,259.062,-17.778,322.164,129.272,270.647,-116.01865,250.31993,44.62194,-9.09651,87.58216,7.909,12,97,9,10,57,19.18035,-8.74207000000001
8,2,-2,"no_out","run",92.199,1.201,184.687,4.738,-7.23885,44.21666,69.54673,82.73005,0.42792,-21.30652,-25.82851,-14.6387,183.55369,76.26022,-120.582,267.689,18.121,313.306,145.484,245.405,-31.92308,328.69051,32.47,-6.05796,83.96067,7.909,12,182,17,10,58,-50.04408,15.38451
9,9,-3,"no_out","run",91.15,1.135,227.077,5.071,17.87951,48.34474,63.43583,81.73736,-2.33478,-26.39368,-27.89225,47.41294,166.06092,87.49282,-143.821,264.487,-12.793,346.284,135.686,286.031,85.10757,289.22874,36.35165,15.69019,83.11019,7.909,12,211,27,10,59,-50.57843,3.19774000000001
9,5,1,"no_out","no_run",46.633,1.368,93.642,6.073,17.16776,73.30923,42.34907,86.38529,-4.2128,-35.95352,-30.97083,56.16221,98.53464,146.4583,-122.215,245.007,-2.292,320.492,131.379,273.427,106.1537,176.08026,57.75933,21.4199,88.31948,7.75,12,331,4,10,61,-25.2253,-97.34674
9,2,-1,"no_out","run",77.986,1.534,146.398,3.77,31.45273,39.39259,65.92135,82.98599,-1.99252,-23.26311,-25.7817,85.47001,137.13397,55.10143,-139.652,239.108,-22.995,303.384,115.844,240.182,174.163,235.20833,28.58553,25.08355,84.33282,7.75,12,292,12,10,62,58.319,-4.97367
9,7,-4,"no_out","no_run",88.139,1.068,211.377,6.039,8.66208,71.66401,47.47053,86.39568,1.32593,-34.09328,-33.07316,40.11469,125.3575,133.44182,-129.333,273.686,17.416,326.04,138.278,257.226,82.80682,221.9003,56.202,9.98515,88.00255,8.934,13,417,1,14,65,-55.47118,-35.3257
7,1,0,"no_out","no_run",81.291,1.135,179.512,5.105,-15.9029,53.91006,45.02217,72.01522,1.04701,-27.18078,-22.05443,-40.70049,126.8617,97.49922,-134.171,259.408,19.69,322.371,131.543,251.766,-67.49331,223.94828,47.55137,-19.23747,74.24754,8.934,13,42,23,14,66,66.67769,-35.45972
9,6,-2,"no_out","no_run",67.894,1.1,145.353,5.206,13.37344,58.70561,37.74786,71.06404,-2.93349,-30.07191,-22.72108,45.58924,93.96184,105.263,-144.034,248.484,22.658,308.62,128.356,239.688,87.53896,166.31882,55.42681,19.27486,72.61504,8.934,13,283,23,14,67,-40.81704,-73.36918
8,7,2,"no_out","run",77.282,0.967,144.234,2.903,-1.11296,24.31257,96.53974,99.56034,1.36124,-22.68804,-27.94359,-3.19216,180.54588,29.03396,-125.675,251.177,-20.674,301.861,118.211,278.483,-13.80483,320.80045,14.346,-0.69638,100.80061,8.934,13,63,8,14,68,6.86917,18.93945
8,3,2,"no_out","run",62.832,1.401,161.755,5.973,2.02304,63.88583,63.53635,90.12414,-0.67352,-27.31559,-35.17692,24.61882,171.46342,132.25755,-143.77,258.695,-18.639,319.69,150.7,272.243,64.96779,298.02532,45.05126,2.23258,92.37485,8.837,13,70,12,14,69,83.60679,-21.66468
8,9,1,"no_out","run",80.805,1.48,187.787,3.64,-11.59239,29.39518,84.12465,89.86333,1.36086,-20.96977,-24.27679,-16.89799,188.49103,42.0147,-115.465,250.199,26.184,297.242,117.197,223.162,-24.57211,328.55288,19.31029,-8.00547,91.06755,7.989,14,192,10,13,72,-50.75611,31.31088
9,6,1,"no_out","run",72.714,1.368,171.956,3.17,14.34321,28.75442,87.07704,92.81678,1.36086,-20.96977,-24.27679,41.63217,164.66119,36.51316,-115.655,274.279,18.155,322.412,121.826,244.724,95.16658,287.80389,18.31248,9.04036,94.1596,7.636,14,187,20,13,74,-26.65942,43.07989
9,8,-6,"no_out","no_run",91.193,1.534,227.025,5.139,16.47958,55.78937,52.68466,78.48378,-2.45131,-30.51284,-27.55308,55.03406,128.05971,97.46497,-136.116,247.712,11.075,313.513,116.922,248.654,121.36033,217.0883,45.54397,17.54482,79.29945,7.636,14,206,11,13,75,4.43833000000001,-31.5657
8,9,-11,"no_out","run",78.08,1.935,107.222,2.903,-9.71239,25.89127,91.59326,95.67661,1.28469,-20.34781,-29.28107,-20.13522,162.72271,31.06241,-126.115,262.71,-8.642,294.86,125.374,250.231,-35.76635,290.21172,16.00428,-5.95273,96.78323,7.636,14,246,7,13,76,-27.12435,-4.64828
8,6,3,"no_out","run",81.511,1.101,196.477,3.838,-4.60556,35.40285,85.97669,93.09438,1.69626,-19.88358,-26.07523,5.64387,193.4689,53.06748,-145.465,275.587,-3.986,318.518,124.109,249.983,28.81248,349.2064,22.49846,-3.45583,94.36433,7.636,14,75,10,13,77,32.79848,30.6884
7,4,1,"no_out","run",72.881,1,160.742,5.305,-24.9838,61.692,48.68624,82.4648,0.34739,-31.17517,-27.68332,-87.69442,109.70117,106.83225,-132.933,257.91,8.802,327.283,139.007,266.712,-180.13814,184.58004,48.60825,-26.71899,84.0207,7.636,14,126,20,13,78,-47.20514,-73.32996
9,6,1,"no_out","no_run",72.824,0.733,121.09,6.34,17.90317,65.69831,43.05801,80.5654,-2.71894,-33.20169,-26.41275,59.91675,107.38442,124.25146,-128.2,273.827,8.37,294.77,124.933,244.25,114.39953,188.99691,54.80296,22.21022,81.79382,7.636,14,251,3,13,79,-10.53347,-55.25309
7,7,6,"no_out","no_run",81.395,1.601,154.716,4.271,-9.62687,50.6035,48.13335,70.49972,-0.37609,-25.18886,-23.89942,-36.5554,118.61314,86.35037,-129.775,233.512,-10.865,308.411,136.72,263.482,-87.4758,206.27357,46.38844,-11.47272,71.78858,7.52,14,440,3,13,83,42.2992,-27.23843
8,6,-7,"no_out","no_run",96.239,1.101,211.51,2.836,5.85961,26.40453,92.71439,96.57894,1.28469,-20.34781,-29.28107,23.46522,167.60958,30.95505,-116.756,274.634,43.745,309.803,151.534,229.294,62.79321,302.97051,16.1746,3.29523,97.8061,7.52,14,309,27,13,84,19.04821,-6.83249000000001
7,1,0,"no_out","no_run",86.765,1.133,205.601,4.238,-29.57104,41.11544,57.66451,76.74712,2.15067,-23.92791,-25.78911,-74.75239,144.76514,64.3896,-126.99,273.012,31.471,324.75,141.021,265.997,-135.71879,260.50779,32.68074,-27.02098,77.91762,7.278,14,420,27,13,88,-8.72879000000002,-12.50421
7,7,6,"no_out","no_run",84.9,1.33,156,5.867,-19.84773,64.49183,53.75036,86.26836,7.22912,-27.92554,-35.23738,-59.03384,126.44561,127.24674,-147.54392,266.28542,0.63626,321.42344,139.30336,260.5857,-104.11599,224.92254,50.49375,-21.11199,84.97272,6.473,14,193,20,13,89,43.42793,-41.36288
8,3,5,"no_out","run",81.1,0.8,188,3.833,-4.59284,33.27871,77.39752,84.37382,-3.54413,-18.27724,-22.76742,-18.90972,175.51884,48.7616,-146.36215,264.69531,-17.61276,326.80423,138.19237,269.42482,-43.6195,311.81022,24.11696,-2.98019,85.85233,6.473,14,500,1,13,90,-26.00674,-14.99401
8,5,11,"no_out","run",78.2,1.1,191,4.367,-2.22516,41.08567,87.05009,96.28448,10.27356,-20.39433,-28.62935,12.38129,213.11452,66.16211,-118.94561,275.29344,31.95396,320.33501,146.7188,260.80535,41.25234,370.4039,24.98951,-1.70875,98.13796,7.502,14,539,28,14,91,9.29838,50.06889
7,6,-1,"no_out","run",77.726,0.88,257.873,4.48,-25.45703,41.26454,60.03758,77.17081,2.15067,-23.92791,-25.78911,-69.73139,148.45858,70.1664,-123.639,252.529,16.203,301.699,139.428,235.139,-136.02568,258.91353,32.36999,-22.77357,77.85216,9.002,15,252,30,6,93,-12.38668,6.38452999999998
8,0,0,"no_out","run",79.717,1.28,182.847,3.44,-20.7732,36.85965,75.99036,86.97526,0.76008,-19.19507,-28.07595,-60.57622,148.9216,48.65692,19.476,103.793,-120.653,216.55,10.997,254.395,-133.73832,258.52095,25.36969,-14.86313,88.32402,9.002,15,240,14,25,95,-13.08532,41.97095
9,6,6,"no_out","no_run",96.551,1.368,225.049,2.736,17.41828,24.35201,90.5119,95.33531,1.36124,-22.68804,-27.94359,43.94857,150.90722,27.30554,-128.392,261.347,17.604,300.684,126.269,251.051,101.39694,264.89789,15.06779,10.5129,96.55878,8.677,18,302,9,19,102,-24.87206,13.84689
8,6,2,"no_out","run",97.964,0.867,304.059,5.772,-1.50247,58.31257,77.56806,97.05368,0.87501,-22.30041,-39.17032,25.77361,198.44233,114.14521,-115.659,270.191,27.038,306.449,129.961,253.737,74.49665,340.73734,37.02812,-1.34177,98.50258,8.677,18,222,24,19,103,47.45865,34.28834
8,8,1,"no_out","no_run",89.239,1.034,183.357,4.504,1.02359,45.61533,61.78337,76.80489,1.11316,-22.79764,-27.70257,-14.50692,151.71582,74.03028,-130.212,256.098,-13.498,322.502,131.895,239.263,-45.81973,266.62085,36.70088,1.40206,78.22435,8.677,18,43,27,19,104,-32.32173,-55.88115
8,6,-2,"no_out","no_run",87.817,0.966,170.378,4.405,-0.66895,40.61228,67.04906,78.39248,0.59593,-20.15794,-23.43175,5.62621,158.82144,66.23734,-147.347,259.435,19.915,304.418,121.378,236.426,21.88629,277.22519,31.4185,-0.61221,79.6282,8.574,19,73,9,17,105,1.97129,-27.19281
8,5,-1,"no_out","run",68.721,0.934,239.565,5.406,-6.0253,48.63207,89.90803,102.39549,2.14869,-18.9338,-36.04022,-5.4069,235.17264,95.38594,-134.749,261.219,-6.51,320.654,136.045,244.591,19.17398,393.85899,28.30178,-3.80195,104.22681,8.574,19,323,4,17,106,25.68398,73.20499
8,1,0,"no_out","run",75.317,1.401,148.191,3.604,-7.90237,33.04953,72.73327,80.27981,0.56772,-20.1635,-21.83802,-9.59053,162.13613,45.97738,-148.823,243.628,-20.234,287.556,114.984,235.34,-4.44356,293.89449,24.59656,-6.3465,81.35657,8.574,19,246,7,17,107,15.79044,6.33849000000004
7,2,3,"no_out","run",87.696,1.401,186.038,2.336,-36.30721,24.05978,89.36949,99.41827,-0.59198,-26.51506,-31.99939,-61.29092,134.61163,21.57795,-136.118,260.911,-19.715,315.478,121.684,247.149,-120.46479,244.61815,14.39205,-21.89988,100.69532,8.476,19,198,10,17,120,15.65321,-16.29285
8,1,2,"no_out","no_run",95.688,1.235,276.273,4.338,-1.49871,40.47483,66.50759,77.86988,0.59593,-20.15794,-23.43175,-2.81672,166.21923,65.4609,-144.488,256.294,21.028,308.46,139.073,262.361,-1.28164,293.49413,31.54865,-1.26739,78.99381,8.234,21,302,9,10,124,-22.30964,-14.96587
9,9,-5,"no_out","run",74.186,1.834,139.444,5.606,17.26618,67.98342,56.78655,90.24732,-2.92428,-32.04897,-32.8282,77.43117,135.86042,123.63185,-133.82,265.919,11.746,322.223,141.672,252.647,163.5798,231.26051,48.85984,16.33817,91.95869,8.234,21,320,17,10,126,21.9078,-21.38649
8,4,1,"no_out","run",56.976,1.368,154.394,4.438,-1.17302,40.88747,81.63191,91.30679,0.76008,-19.19507,-28.07595,8.95187,199.82553,67.00712,-132.962,266.576,14.17,317.031,140.391,264.996,31.58302,349.93398,26.69291,-0.92635,92.83308,8.31,21,57,25,10,128,17.41302,32.90298
7,3,4,"no_out","run",85.551,1.034,139.038,5.939,-26.70758,62.13397,54.07563,86.59156,3.06214,-29.2977,-33.18341,-79.11042,135.28438,126.47241,-126.311,283.116,19.534,313.776,134.193,240.492,-150.89144,231.47445,45.1635,-26.63181,88.29303,8.31,21,69,29,10,129,-24.58044,-51.64155
7,4,-1,"no_out","run",83.727,1.201,206.248,4.271,-24.25421,39.17736,56.42958,72.8521,1.8622,-23.16719,-19.48903,-62.39822,136.69783,62.042,-129.707,256.402,-13.958,307.21,138.575,244.807,-115.01968,238.83006,32.75378,-23.18389,74.026,7.881,21,441,22,10,133,14.68732,-17.57194
7,3,2,"no_out","run",72.203,1.601,152.461,3.637,-28.14969,32.60928,75.12082,86.59623,0.89561,-23.43621,-28.35846,-65.20561,162.83749,45.52857,-129.715,252.853,13.12,315.38,138.165,246.535,-119.35895,289.95819,22.33001,-20.4909,87.65472,7.881,21,471,9,10,136,10.35605,37.10519
9,1,1,"no_out","run",74.2,1.96,181,4.067,34.33955,40.12134,77.98085,94.18036,-0.87497,-23.13328,-35.11582,96.47727,165.00762,59.15871,-130.84971,270.37373,19.85927,340.93722,131.14155,241.90025,193.74506,267.33551,25.48907,23.72174,95.02313,7.514,21,161,5,10,138,62.60351,25.43526
9,6,-1,"no_out","no_run",90,0.97,210,5.899,8.24716,66.32022,65.51086,93.58451,7.4376,-31.70122,-44.33248,46.91232,149.00386,127.56273,-135.11341,262.27287,16.17576,332.56796,147.66359,258.20019,113.42396,241.16772,46.26204,8.87628,91.65576,7.944,21,519,17,10,139,-34.23963,-17.03247
7,2,0,"no_out","run",62.4,2.7,117,2.633,-44.31668,31.08989,86.9024,102.38445,-1.81543,-28.20005,-33.19774,-85.5364,138.24803,31.34189,-128.83126,256.72443,13.80193,299.76483,129.95636,234.03665,-172.70217,241.00101,17.85311,-26.65326,105.11268,7.944,21,286,7,10,141,-43.87091,-15.72342
7,6,12,"no_out","run",78.5,1.37,167,3.399,-32.80877,36.81166,67.9504,83.95695,-2.87911,-27.08132,-28.24467,-81.56726,125.3392,45.53132,-142.37287,229.67968,-21.32306,308.28116,122.26912,256.49256,-170.17113,208.03589,26.01712,-26.4429,83.71955,7.944,21,441,28,10,142,-27.79826,-21.64379
7,7,3,"no_out","run",63.092,1.679,179.839,4.72,-19.60233,43.43649,82.79378,95.529,1.71784,-18.26229,-33.64504,-75.77271,193.43854,75.48863,-132.97,251.572,-15.164,302.221,128.756,270.968,-159.48329,313.9196,26.70064,-13.11158,96.2619,7.901,22,256,8,14,143,-26.51329,62.3476
8,8,1,"no_out","no_run",70.573,2.24,132.565,4.76,6.67628,47.54488,55.5121,73.39401,1.28832,-23.74272,-22.12691,8.36213,136.57736,79.23875,-140.835,242.54,-3.014,299.744,122.095,264.925,7.70863,242.48335,40.55004,7.08718,74.8347,7.901,22,30,25,14,144,10.72263,-57.26065
9,7,-2,"no_out","run",83.631,1.08,11.859,4.76,19.28419,43.69793,78.04166,91.49803,1.78651,-19.56682,-30.68182,66.96415,184.14615,77.8608,-126.033,265.788,22.421,312.682,138.901,262.436,134.77781,310.58734,28.56712,13.61355,93.05719,7.901,22,100,8,14,145,-4.12319000000002,48.15134
7,8,4,"no_out","run",84.85,1.667,242.591,5.138,-22.96318,45.47586,80.53682,95.29712,3.61865,-21.83174,-35.08693,-65.56589,208.88001,87.14536,-130.371,258.841,-17.356,315.892,129.804,265.149,-119.95926,354.67688,28.51272,-15.83841,96.87523,7.934,22,106,8,14,146,10.41174,95.83588
9,2,-1,"no_out","run",100.516,1.068,271.504,5.439,22.7044,52.40883,66.38718,87.5753,-3.35618,-26.71955,-33.80051,68.05936,170.86181,101.29446,-141.635,265.912,-25.466,320.004,107.539,291.089,116.84143,292.05983,36.78922,18.74873,89.21613,8.03,22,283,23,14,147,9.30243,0.970829999999978
9,9,3,"no_out","run",86.07,0.834,222.699,5.139,22.10169,48.39186,74.00396,91.14189,-2.64097,-24.83214,-33.44973,77.58145,189.53357,89.75033,-126.582,265.404,20.271,306.963,143.961,260.403,162.24711,308.5966,32.1143,16.44724,92.38587,8.03,22,130,26,14,148,18.28611,48.1936
9,5,-1,"no_out","run",95.964,0.866,246.29,5.472,8.27958,61.44815,58.77913,85.4366,-0.67352,-27.31559,-35.17692,53.12707,143.55391,111.08768,-128.455,254.981,20.987,304.473,132.247,250.839,124.50744,248.98618,46.23643,7.89634,87.17159,8.595,23,364,25,6,152,-7.73956000000001,-1.85282000000001
9,2,0,"no_out","no_run",84.923,0.901,220.187,5.906,15.48035,66.33428,55.80416,88.0567,0.71374,-29.75053,-34.3674,62.22516,136.227,129.74351,-133.158,259.038,-7.025,316.283,138.018,245.897,125.15615,238.66619,48.81485,14.95783,89.38547,8.595,23,249,26,6,153,-12.86185,-7.23080999999999
7,1,3,"no_out","no_run",84.294,0.834,210.751,4.971,-9.72615,50.3969,56.77366,76.53557,0.02376,-24.5059,-28.74096,-40.88605,144.42784,91.01709,-124.11,254.152,-16.09,331.751,121.234,272.094,-86.95222,250.99407,42.13062,-9.92687,78.25265,8.595,23,33,14,6,155,37.15778,-3.15792999999999
8,8,-3,"no_out","run",76.577,1.435,147.641,5.673,-4.67862,58.04464,70.75836,91.6396,0.87154,-22.78018,-34.38451,-6.06358,184.07936,111.26635,-112.637,268.193,-13.215,295.822,138.115,252.646,4.5573,324.39332,37.77865,-4.17833,91.80472,8.364,23,149,22,2,156,17.7723,28.57132
9,1,0,"no_out","run",85.454,1.235,196.592,4.571,17.31511,38.67505,78.79185,89.46355,0.76008,-19.19507,-28.07595,52.5513,188.44389,65.98889,-109.215,276.868,19.765,316.904,136.399,243.922,102.00205,308.28422,25.68492,12.21789,90.95348,8.364,23,232,21,2,159,-34.39695,64.36222
7,2,1,"no_out","run",70.704,1.36,171.918,3.48,-40.4639,32.56543,70.59069,87.64063,0.89561,-23.43621,-28.35846,-99.51372,149.47373,45.76954,-142.809,256.663,27.359,307.236,135.665,245.772,-191.84724,258.42548,21.70349,-29.75448,89.27405,9.242,24,269,28,12,164,-49.03824,1.76247999999998
7,1,-1,"no_out","run",79.239,0.959,170.413,4.6,-13.75157,44.57884,54.83127,71.99199,0.59505,-22.59923,-21.89888,-34.20034,142.08285,75.19587,-119.226,277.201,13.388,316.851,114.04,255.823,-52.7365,258.43711,38.67786,-13.95063,73.55852,8.951,26,127,3,29,167,66.4895,-18.76389
9,8,0,"out","no_run",96.252,0.88,224.542,3.04,16.49269,27.89349,73.58713,80.40598,1.33041,-20.78208,-20.37793,45.06919,137.64544,32.86812,-144.224,253.603,11.317,311.468,135.41,241.549,97.9146,241.39438,20.57725,12.3257,81.50346,8.951,26,226,22,8,168,-37.4954,-0.154619999999994
8,1,0,"no_out","run",85.65,1.068,202.385,5.706,4.84796,54.28968,64.49484,84.44203,0.87154,-22.78018,-34.38451,-5.53478,174.40963,108.26864,-142.093,251.541,13.664,310.756,128.074,264.645,-27.88155,326.49374,38.31451,2.06778,92.342,8.888,26,164,30,18,170,-41.54555,15.73774
